id,domain,stage,scenario,workflow_family,primary_failure_mode,benchmark_artifact
A7,通用科研,硕博,实验代码、原始结果与论文的一致性审计,审计,图表与代码数字不一致,端到端审计报告
A8,通用科研,硕博,研究迭代评审与论文自动成稿,写作,支持不足仍自动成稿,主张-证据-引用矩阵
A9,通用科研,博士/PI,从选题到实验再到论文的自动科研闭环,长程闭环,状态丢失和错误传播,完整 trial corpus
A10,通用科研,硕博,给定数据和指标后自动搜索建模方案,建模,指标优化替代科学目标,候选模型和验证集
A11,生命科学·AI,跨阶段,生命科学文献检索、筛读与证据问答,检索增强,引用存在但不支持主张,证据问答与引用校验
A12,生命科学·AI,硕博/PI,生物医学多工具分析与实验候选迭代,多工具 agent,工具链局部正确但整体失真,工具调用轨迹与候选排名
R1,通用科研,跨阶段,持续跟踪新文献并形成阅读队列,长期检索,去重和优先级漂移,版本化文献队列
R2,通用科研,跨阶段,为论断补充依据并核对参考文献,引用审计,引用元数据或语义错配,主张-引用校验表
R3,通用科研,跨阶段,实验记录归档与数据可用性说明,数据治理,缺少可用性和 provenance 信息,归档清单
R4,通用科研,硕博/PI,研究成果梳理与技术交底草稿,转化写作,技术点边界扩大,技术点与证据清单
R5,通用科研,硕博,论文结构重建、语言修订与投稿材料整理,写作,编辑改变科学含义,修订 diff 和术语表
R6,通用科研,硕博,论文多面板图与统计报告一致性,审计,样本数/重复层级/统计量冲突,图表统计一致性报告
